;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
NI;037;Stadt Hannover II;siehe Wkr 036;91,4;252,7;266,9 ;127,0;223,1;2 922;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;siehe Wkr 036;
NI;038;Hannover-Land I;9;1 273,3;289,2;315,5 ;154,5;289,3;248;15,8  ;3,1  ;7,2  ;15,8  ;36,6  ;21,4  ;10,2  ;10,1  ;53,4  ;46,0  ;+   7,6;4,8  ;25,3 ;17,8 ;23,4 ;33,5;0,4;45,9;613,8 ;86,8  ;9,5  ;437,0;270,7 ;1,2    ;34,9    ;32,1    ;31,8    ;9,7  ;10,6;
NI;039;Celle – Uelzen;54;2 998,5;257,2;275,9 ;133,5;259,4;92;16,6  ;3,4  ;7,7  ;15,2  ;33,4  ;23,7  ;10,3  ;12,5  ;37,5  ;32,0  ;+   3,2;9,3  ;23,4 ;17,1 ;16,9 ;42,6;0,5;50,2;620,9 ;84,1  ;7,8  ;427,7;267,5 ;2,2    ;35,2    ;18,9    ;43,7    ;12,0  ;13,4;
NI;040;Gifhorn – Peine;49;2 096,3;247,1;291,9 ;144,5;272,8;139;18,3  ;3,4  ;7,3  ;16,1  ;34,7  ;20,2  ;11,1  ;10,0  ;42,4  ;32,3  ;+  11,2;9,7  ;28,4 ;19,4 ;21,2 ;31,1;0,3;155,9;630,5 ;84,5  ;12,9  ;400,0;198,4 ;1,2    ;44,4    ;18,5    ;35,8    ;14,1  ;14,2;Spalte 24 und 25 einschl. Wolfsburg.
NI;041;Hameln-Pyrmont – Holzminden;40;1 488,6;234,6;247,1 ;118,1;226,4;166;15,5  ;3,0  ;7,1  ;15,0  ;33,4  ;26,0  ;9,8  ;13,3  ;42,4  ;38,9  ;+   0,0;6,9  ;29,0 ;18,6 ;20,7 ;31,7;0,6;92,7;613,4 ;85,9  ;6,2  ;447,4;295,6 ;1,3    ;43,7    ;14,0    ;40,9    ;13,7  ;14,6;
NI;042;Hannover-Land II;11;812,7;256,3;274,9 ;133,3;255,2;338;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;siehe Wkr 038;227,0 ;0,9    ;38,7    ;24,7    ;35,6    ;9,7  ;10,3;
NI;043;Hildesheim;40;1 205,3;280,5;293,0 ;141,2;274,2;243;15,6  ;3,1  ;7,5  ;16,2  ;34,0  ;23,6  ;10,0  ;12,0  ;30,8  ;27,3  ;+   1,5;5,3  ;17,6 ;17,0 ;30,6 ;34,8;0,6;84,3;579,2 ;86,9  ;7,6  ;437,1;288,1 ;0,9    ;42,8    ;17,9    ;38,4    ;11,8  ;12,4;
NI;044;Salzgitter – Wolfenbüttel;38;946,1;226,4;239,4 ;116,5;217,9;253;15,9  ;3,1  ;7,2  ;15,8  ;35,0  ;23,0  ;10,4  ;11,2  ;39,9  ;39,7  ;-   0,6;3,8  ;17,3 ;12,5 ;20,3 ;49,9;0,4;132,4;582,7 ;88,0  ;5,8  ;435,7;285,8 ;0,8    ;54,5    ;13,0    ;31,7    ;14,8  ;15,1;
NI;045;Braunschweig;1;192,1;252,4;251,3 ;121,2;228,7;1 308;13,0  ;2,6  ;7,8  ;18,6  ;33,8  ;24,2  ;9,1  ;12,3  ;56,4  ;58,2  ;-   4,9;0,8  ;43,8 ;14,9 ;12,9 ;28,4;0,5;88,1;565,8 ;88,4  ;5,1  ;513,5;428,0 ;0,2    ;30,5    ;21,3    ;48,0    ;13,7  ;14,9;
NI;046;Helmstedt – Wolfsburg;27;877,8;222,7;225,9 ;110,4;206,0;257;15,5  ;3,2  ;7,2  ;15,0  ;35,0  ;24,1  ;9,0  ;11,7  ;34,8  ;42,1  ;-  10,0;3,9  ;26,3 ;13,5 ;18,8 ;41,4;0,4;44,2;621,4 ;88,6  ;3,9  ;443,5;418,1 ;0,6    ;65,9    ;10,6    ;22,8    ;17,0  ;16,6;Spalte 24 und 25 ohne Wolfsburg.
