;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
BW;163;Stuttgart II;siehe Wkr 162;93,6;284,0;301,7 ;147,5;222,9;3 224;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;siehe Wkr 162;
BW;164;Böblingen;26;617,8;315,7;354,6 ;175,6;295,2;574;17,3  ;3,2  ;7,9  ;17,5  ;35,8  ;18,2  ;11,8  ;8,1  ;50,8  ;44,5  ;+  10,0;4,1  ;43,3 ;32,6 ;16,4 ;7,6;0,6;190,4;638,2 ;87,8  ;10,9  ;425,5;400,0 ;0,5    ;55,0    ;17,1    ;27,4    ;8,7  ;8,7;
BW;165;Esslingen;15;208,7;223,0;231,0 ;113,6;191,0;1 107;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;siehe Wkr 164;367,1 ;0,5    ;55,4    ;17,4    ;26,7    ;7,2  ;7,1;
BW;166;Nürtingen;29;432,7;237,5;261,9 ;128,9;225,6;605;16,4  ;3,1  ;7,7  ;17,2  ;35,5  ;20,1  ;11,4  ;9,0  ;41,5  ;38,4  ;+   5,4;3,8  ;60,4 ;23,5 ;11,8 ;4,3;1,0;149,4;640,6 ;86,5  ;9,1  ;439,7;345,7 ;0,8    ;51,1    ;19,7    ;28,5    ;6,7  ;6,7;
BW;167;Göppingen;38;642,3;230,4;255,7 ;125,6;217,3;398;17,3  ;3,4  ;8,0  ;16,2  ;33,9  ;21,3  ;10,9  ;10,3  ;41,7  ;40,4  ;+   1,8;6,0  ;31,9 ;33,3 ;26,1 ;8,7;1,0;122,9;620,5 ;85,1  ;7,0  ;416,5;314,8 ;0,6    ;54,8    ;15,7    ;28,9    ;7,9  ;8,0;
BW;168;Waiblingen;18;513,4;273,2;302,9 ;149,0;258,7;590;17,1  ;3,2  ;7,6  ;17,2  ;34,9  ;20,1  ;11,6  ;9,2  ;40,4  ;36,6  ;+   6,3;7,8  ;58,7 ;28,3 ;10,6 ;2,4;0,9;123,9;626,5 ;84,8  ;10,4  ;431,0;330,1 ;1,1    ;51,9    ;16,1    ;30,9    ;7,3  ;7,6;
BW;169;Ludwigsburg;15;339,3;264,6;288,3 ;142,3;236,8;850;16,9  ;3,2  ;7,8  ;17,2  ;35,5  ;19,4  ;11,6  ;8,3  ;48,1  ;47,3  ;+   4,0;5,6  ;56,1 ;21,3 ;18,9 ;3,7;0,9;120,4;617,4 ;86,4  ;7,3  ;432,8;363,3 ;1,0    ;45,0    ;21,5    ;32,5    ;7,3  ;7,3;
BW;170;Neckar-Zaber;38;619,1;247,5;284,1 ;140,0;245,9;459;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;siehe Wkr 169;258,4 ;1,4    ;61,0    ;15,9    ;21,8    ;6,7  ;6,7;
BW;171;Heilbronn;33;928,4;293,7;344,3 ;169,8;292,9;371;17,9  ;3,4  ;8,0  ;17,1  ;33,8  ;19,8  ;11,5  ;9,4  ;54,0  ;47,1  ;+   9,0;10,9  ;54,3 ;23,9 ;16,2 ;5,5;0,8;118,7;651,2 ;84,6  ;10,7  ;417,7;369,0 ;1,0    ;46,7    ;20,6    ;31,7    ;9,4  ;9,5;
BW;172;Schwäbisch Hall – Hohenlohe;46;2 260,8;240,1;287,7 ;141,9;265,1;127;19,1  ;3,7  ;8,3  ;16,4  ;32,5  ;20,0  ;12,1  ;9,3  ;47,2  ;40,5  ;+   9,5;23,7  ;30,3 ;35,6 ;27,5 ;6,6;1,0;125,6;699,9 ;78,4  ;11,9  ;393,1;339,4 ;1,2    ;52,5    ;17,7    ;28,6    ;8,4  ;7,8;
BW;173;Backnang – Schwäbisch Gmünd;34;838,7;212,2;241,0 ;118,5;211,7;287;18,2  ;3,6  ;8,3  ;16,1  ;32,8  ;20,9  ;11,5  ;9,9  ;30,7  ;28,8  ;+   3,5;11,1  ;26,1 ;40,9 ;24,7 ;8,3;0,8;144,3;625,9 ;82,6  ;9,4  ;403,7;276,6 ;1,0    ;57,3    ;12,9    ;28,9    ;9,0  ;9,2;
BW;174;Aalen – Heidenheim;32;1 644,8;280,2;307,8 ;151,4;277,9;187;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;siehe Wkr 173;341,7 ;0,9    ;61,0    ;11,4    ;26,6    ;8,9  ;9,1;
BW;175;Karlsruhe-Stadt;2;205,8;279,7;297,3 ;144,1;259,2;1 445;13,1  ;2,5  ;8,0  ;19,4  ;34,0  ;23,0  ;9,4  ;11,6  ;75,3  ;67,7  ;+   5,4;0,6  ;58,1 ;23,3 ;11,0 ;7,6;0,6;100,0;560,8 ;87,1  ;8,6  ;491,2;492,5 ;0,2    ;27,7    ;21,6    ;50,5    ;9,9  ;10,6;
BW;176;Karlsruhe-Land;28;911,1;288,5;326,9 ;161,4;295,1;359;17,0  ;3,3  ;7,4  ;16,6  ;35,8  ;19,9  ;10,9  ;9,1  ;41,6  ;36,4  ;+   7,0;4,9  ;59,2 ;18,7 ;10,2 ;11,8;0,8;100,3;630,9 ;86,1  ;7,3  ;409,5;260,2 ;0,9    ;50,0    ;15,1    ;34,1    ;7,6  ;7,7;
BW;177;Rastatt;26;986,9;293,7;325,1 ;157,0;292,6;329;16,0  ;3,2  ;7,1  ;16,0  ;34,8  ;22,8  ;10,0  ;10,4  ;122,5  ;116,7  ;+   5,4;6,6  ;79,3 ;13,2 ;3,8 ;3,7;0,8;143,3;652,3 ;85,8  ;7,5  ;438,7;366,2 ;0,9    ;51,7    ;13,8    ;33,7    ;8,2  ;8,1;
BW;178;Heidelberg;12;268,7;244,8;269,8 ;129,2;232,0;1 004;12,6  ;2,3  ;9,4  ;22,9  ;33,1  ;19,7  ;9,2  ;9,9  ;90,9  ;89,5  ;+   0,6;1,0  ;54,3 ;23,9 ;18,1 ;3,6;0,5;85,6;488,1 ;88,9  ;4,1  ;467,1;368,7 ;0,3    ;29,9    ;16,5    ;53,3    ;9,0  ;9,5;
BW;179;Mannheim I;10;94,4;190,4;219,3 ;108,1;171,2;2 324;13,8  ;2,7  ;7,8  ;19,0  ;34,7  ;22,0  ;9,5  ;11,4  ;54,3  ;49,4  ;+   3,0;0,4  ;31,7 ;25,4 ;34,9 ;7,9;0,5;164,5;518,4 ;88,7  ;7,3  ;501,3;446,3 ;0,4    ;40,9    ;21,5    ;37,3    ;11,7  ;12,3;
BW;180;Mannheim II;;227,6;229,9;220,8 ;107,2;191,7;970;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;siehe Wkr 179;
BW;181;Odenwald – Tauber;45;2 430,9;252,5;285,1 ;140,6;265,6;117;17,9  ;3,6  ;8,0  ;16,4  ;32,8  ;21,3  ;10,8  ;10,4  ;37,8  ;33,4  ;+   4,8;19,8  ;32,4 ;34,2 ;22,4 ;11,0;0,9;106,3;655,3 ;80,2  ;9,6  ;389,8;294,1 ;0,9    ;51,8    ;11,7    ;35,6    ;8,7  ;8,8;
BW;182;Rhein-Neckar;34;724,9;223,3;256,8 ;126,2;228,9;354;16,2  ;3,1  ;7,2  ;17,0  ;35,9  ;20,5  ;10,4  ;9,7  ;46,0  ;40,3  ;+   6,4;3,8  ;43,0 ;23,6 ;22,3 ;11,0;0,6;86,7;623,1 ;87,7  ;8,6  ;432,9;266,5 ;0,8    ;48,1    ;15,1    ;36,1    ;8,2  ;8,2;
BW;183;Pforzheim;30;705,3;279,4;316,3 ;153,5;273,3;449;17,3  ;3,3  ;7,5  ;16,5  ;34,4  ;21,1  ;11,1  ;9,5  ;49,9  ;48,4  ;+   3,2;3,5  ;51,3 ;24,0 ;14,3 ;10,3;1,4;130,9;589,5 ;86,3  ;10,4  ;433,0;332,2 ;0,7    ;55,1    ;18,2    ;26,1    ;9,1  ;8,9;
BW;184;Calw;42;1 668,3;235,3;276,5 ;134,8;243,4;166;18,6  ;3,4  ;8,2  ;16,8  ;32,7  ;20,2  ;11,6  ;9,8  ;107,5  ;108,6  ;+   0,7;12,8  ;58,0 ;28,1 ;9,1 ;4,8;0,9;92,6;623,0 ;82,7  ;9,7  ;414,0;284,3 ;1,3    ;47,6    ;13,9    ;37,2    ;7,1  ;7,2;
BW;185;Freiburg;29;724,0;282,7;317,4 ;151,7;284,5;438;15,7  ;3,0  ;9,0  ;19,4  ;33,4  ;19,6  ;10,8  ;9,0  ;75,7  ;68,8  ;+   8,6;13,9  ;59,3 ;26,0 ;12,1 ;2,5;0,6;70,7;573,7 ;82,6  ;6,6  ;426,4;365,2 ;0,6    ;28,1    ;20,1    ;51,2    ;9,5  ;9,8;
BW;186;Lörrach – Müllheim;55;1 155,1;257,4;292,5 ;141,8;260,6;253;17,6  ;3,3  ;7,1  ;16,8  ;34,3  ;20,9  ;10,9  ;10,0  ;37,0  ;31,7  ;+   6,3;10,1  ;45,1 ;38,3 ;13,8 ;2,8;0,7;114,5;596,6 ;84,3  ;8,7  ;428,4;300,6 ;0,9    ;49,1    ;15,8    ;34,2    ;8,8  ;9,4;
BW;187;Emmendingen – Lahr;46;1 446,0;251,6;287,8 ;140,4;269,1;199;17,9  ;3,5  ;7,5  ;16,7  ;34,7  ;19,7  ;11,1  ;9,3  ;41,1  ;36,0  ;+   6,9;22,5  ;63,8 ;27,6 ;7,2 ;1,4;0,9;93,4;645,4 ;80,6  ;12,3  ;402,9;293,0 ;0,9    ;53,5    ;14,9    ;30,7    ;8,4  ;8,1;
BW;188;Offenburg;29;1 094,6;235,5;260,9 ;127,4;240,3;238;18,1  ;3,4  ;7,8  ;16,6  ;33,2  ;20,9  ;11,7  ;9,5  ;30,9  ;27,7  ;+   5,3;18,5  ;59,8 ;32,4 ;5,1 ;2,7;1,1;125,9;647,8 ;81,6  ;8,7  ;409,5;366,3 ;0,9    ;45,3    ;21,0    ;32,7    ;7,4  ;8,3;
BW;189;Rottweil – Tuttlingen;57;1 503,8;239,7;270,1 ;132,4;242,9;180;18,6  ;3,5  ;8,0  ;16,0  ;32,7  ;21,0  ;11,8  ;9,5  ;38,5  ;34,5  ;+   6,3;12,2  ;38,3 ;38,4 ;13,6 ;9,7;1,4;151,9;638,0 ;82,0  ;10,0  ;405,8;337,4 ;0,5    ;62,6    ;13,1    ;23,8    ;8,5  ;8,1;
BW;190;Schwarzwald-Baar;20;1 025,1;192,6;209,0 ;101,4;184,0;204;17,4  ;3,4  ;7,6  ;15,6  ;33,6  ;22,4  ;11,0  ;10,6  ;35,7  ;35,1  ;+   1,0;10,2  ;28,6 ;37,8 ;24,1 ;9,4;1,3;144,3;627,9 ;84,3  ;6,4  ;431,1;352,8 ;0,6    ;53,3    ;13,8    ;32,3    ;8,6  ;8,6;
BW;191;Konstanz;25;818,0;231,9;260,4 ;126,4;229,0;318;15,6  ;2,9  ;7,8  ;18,4  ;34,0  ;21,4  ;10,1  ;10,1  ;49,0  ;42,3  ;+   6,7;7,3  ;39,7 ;30,8 ;18,9 ;10,6;0,6;101,3;596,0 ;83,9  ;9,6  ;447,3;304,3 ;1,3    ;45,0    ;15,9    ;37,9    ;9,3  ;9,9;
BW;192;Waldshut;41;1 590,3;177,6;201,5 ;98,3;179,9;127;18,5  ;3,6  ;7,6  ;16,6  ;33,0  ;20,7  ;11,0  ;9,0  ;36,5  ;33,5  ;+   5,0;17,9  ;36,4 ;41,6 ;16,4 ;5,6;0,8;91,3;654,3 ;81,4  ;8,3  ;415,2;279,4 ;0,8    ;50,4    ;13,2    ;35,6    ;9,4  ;9,2;
BW;193;Reutlingen;27;1 094,1;244,2;273,6 ;133,5;236,7;250;17,4  ;3,3  ;8,0  ;17,3  ;33,7  ;20,4  ;11,5  ;9,5  ;47,9  ;44,2  ;+   5,7;9,2  ;37,6 ;35,4 ;19,6 ;7,4;1,0;121,1;633,9 ;82,8  ;9,0  ;409,4;332,3 ;1,1    ;51,2    ;16,3    ;31,4    ;8,7  ;8,4;
BW;194;Tübingen;21;788,9;218,4;254,5 ;125,4;221,2;323;17,6  ;3,2  ;8,5  ;20,6  ;33,8  ;16,3  ;11,5  ;7,4  ;57,7  ;56,9  ;+   4,8;6,3  ;53,3 ;28,3 ;10,3 ;8,1;0,8;74,1;563,0 ;83,9  ;8,1  ;408,3;288,1 ;0,8    ;39,4    ;15,8    ;44,0    ;8,2  ;8,5;
BW;195;Ulm;56;1 476,0;263,7;297,7 ;146,8;257,6;202;17,7  ;3,5  ;8,5  ;17,2  ;33,3  ;19,7  ;11,5  ;9,5  ;56,8  ;53,2  ;+   5,5;13,1  ;20,6 ;39,8 ;30,6 ;9,0;0,8;133,8;619,8 ;81,7  ;9,9  ;405,6;390,6 ;0,6    ;45,7    ;19,1    ;34,6    ;7,7  ;7,9;
BW;196;Biberach;59;2 423,4;268,2;306,7 ;151,1;284,2;127;20,1  ;3,7  ;8,2  ;16,6  ;32,5  ;19,0  ;12,3  ;8,6  ;36,1  ;28,7  ;+  11,2;21,6  ;22,1 ;35,7 ;33,8 ;8,4;0,8;132,6;674,1 ;77,8  ;14,6  ;392,4;309,5 ;1,3    ;55,4    ;14,2    ;29,1    ;6,5  ;6,5;
BW;197;Ravensburg – Bodensee;48;1 283,0;292,1;329,0 ;161,4;294,9;256;18,2  ;3,5  ;8,2  ;16,8  ;33,6  ;19,7  ;11,6  ;9,1  ;45,2  ;39,5  ;+   8,1;16,4  ;28,2 ;37,6 ;29,9 ;4,2;0,8;120,2;654,5 ;80,5  ;10,3  ;412,4;341,3 ;0,9    ;48,8    ;13,8    ;36,5    ;8,0  ;7,9;
BW;198;Zollernalb – Sigmaringen;44;1 852,2;243,3;274,5 ;135,3;248,3;148;18,5  ;3,5  ;8,1  ;16,9  ;32,6  ;20,4  ;11,3  ;9,4  ;38,6  ;38,7  ;+   1,8;15,2  ;35,3 ;37,8 ;17,5 ;9,4;1,4;138,8;674,9 ;81,3  ;8,5  ;396,2;322,8 ;1,0    ;57,0    ;14,0    ;28,0    ;9,3  ;9,6;
BW;908;Land insgesamt;1 111;35 751,8;9 286,4;10 374,5 ;5 076,7;9 043,9;290;16,9  ;3,2  ;7,9  ;17,3  ;34,1  ;20,4  ;11,1  ;9,5  ;51,7  ;47,9  ;+   5,3;9,4  ;43,1 ;32,3 ;18,3 ;6,4;0,8;123,0;618,7 ;84,2  ;8,7  ;426,7;352,3 ;0,8    ;47,1    ;16,8    ;35,3    ;8,5  ;8,6;
BY;199;Altötting;72;1 843,6;279,0;319,9 ;156,3;295,9;174;17,3  ;3,2  ;7,6  ;16,5  ;35,0  ;20,3  ;11,2  ;10,0  ;49,2  ;41,2  ;+   9,1;19,6  ;23,5 ;39,9 ;32,8 ;3,8;0,6;96,0;665,7 ;79,4  ;11,4  ;402,6;276,6 ;1,0    ;52,5    ;16,7    ;29,9    ;7,1  ;7,1;
BY;200;Freising;58;2 138,1;273,5;328,0 ;164,1;296,5;153;18,6  ;3,2  ;7,8  ;18,9  ;34,6  ;17,0  ;12,8  ;8,0  ;57,1  ;45,6  ;+  16,2;24,1  ;22,4 ;43,9 ;28,1 ;5,7;0,5;59,8;699,0 ;77,6  ;12,1  ;372,7;297,4 ;1,2    ;37,3    ;27,9    ;33,6    ;6,2  ;6,2;
BY;201;Fürstenfeldbruck;40;1 013,9;277,0;310,8 ;152,7;280,1;307;16,2  ;2,9  ;7,3  ;17,2  ;37,9  ;18,5  ;11,1  ;8,7  ;51,7  ;46,4  ;+   7,7;8,2  ;18,1 ;35,6 ;34,3 ;12,0;0,5;38,3;628,9 ;83,2  ;9,9  ;415,9;197,0 ;1,0    ;37,4    ;22,6    ;39,0    ;6,5  ;6,8;
BY;202;Ingolstadt;49;2 087,9;269,9;313,7 ;155,1;284,0;150;18,2  ;3,6  ;8,0  ;16,7  ;33,8  ;19,6  ;11,7  ;8,9  ;47,9  ;41,4  ;+   9,3;18,0  ;20,1 ;45,8 ;27,7 ;6,4;0,7;139,5;663,4 ;80,5  ;7,7  ;391,6;343,7 ;0,8    ;55,4    ;14,1    ;29,8    ;8,6  ;8,9;
BY;203;München-Mitte;1;26,0;242,2;242,3 ;117,4;169,5;9 302;12,4  ;2,3  ;7,6  ;19,6  ;37,1  ;21,1  ;10,2  ;10,1  ;63,4  ;72,1  ;-   8,6;0,2  ;45,6 ;20,2 ;18,3 ;15,9;0,4;109,1;595,6 ;88,3  ;4,7  ;545,6;519,2 ;0,3    ;25,5    ;19,2    ;55,0    ;7,7  ;8,1;
BY;204;München-Nord;siehe Wkr 203;80,8;247,9;258,7 ;125,7;190,7;3 201;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;
BY;205;München-Ost;siehe Wkr 203;72,3;223,2;240,3 ;116,0;187,3;3 326;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;
BY;206;München-Süd;siehe Wkr 203;48,6;249,5;257,2 ;121,6;199,8;5 295;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;
BY;207;München-West;siehe Wkr 203;82,8;222,7;227,3 ;108,8;178,1;2 746;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;siehe Wkr 203;
BY;208;München-Land;40;960,4;272,4;309,6 ;153,8;272,1;322;14,5  ;2,8  ;7,4  ;17,1  ;39,2  ;19,0  ;10,1  ;8,2  ;78,6  ;73,9  ;+   6,5;2,8  ;16,8 ;34,0 ;36,0 ;13,2;0,9;105,5;682,5 ;85,9  ;10,7  ;431,7;445,2 ;0,8    ;32,6    ;26,7    ;39,8    ;5,8  ;5,9;
BY;209;Rosenheim;47;1 475,7;243,3;285,8 ;139,5;259,7;194;17,4  ;3,1  ;7,6  ;17,0  ;34,5  ;20,4  ;10,9  ;10,0  ;52,1  ;45,5  ;+   7,5;16,5  ;22,7 ;45,6 ;30,2 ;1,4;0,6;67,3;657,2 ;80,6  ;9,2  ;409,8;291,9 ;1,1    ;39,2    ;20,2    ;39,5    ;7,3  ;7,7;
BY;210;Starnberg;52;2 462,1;288,3;321,0 ;153,7;292,4;130;15,9  ;3,1  ;7,1  ;16,3  ;35,9  ;21,7  ;10,1  ;9,7  ;51,0  ;45,5  ;+   5,8;12,0  ;19,6 ;39,6 ;34,5 ;6,3;0,6;62,7;685,9 ;82,5  ;7,1  ;427,9;267,2 ;1,4    ;38,4    ;16,0    ;44,2    ;6,5  ;6,7;
BY;211;Traunstein;54;2 454,6;240,4;268,3 ;128,4;247,9;109;16,5  ;3,2  ;7,7  ;16,0  ;33,4  ;23,3  ;10,1  ;10,7  ;39,5  ;33,3  ;+   5,6;21,9  ;24,0 ;45,5 ;28,8 ;1,7;0,6;73,6;677,7 ;79,4  ;10,7  ;444,8;291,8 ;1,2    ;42,7    ;18,8    ;37,2    ;7,8  ;8,3;
BY;212;Weilheim;87;2 783,1;268,8;308,7 ;151,4;285,2;111;17,3  ;3,1  ;7,5  ;16,8  ;34,3  ;21,0  ;11,5  ;10,2  ;54,2  ;47,1  ;+   8,4;18,4  ;22,8 ;38,7 ;33,4 ;5,0;0,5;60,0;684,4 ;78,1  ;11,0  ;431,0;269,4 ;1,2    ;39,6    ;15,5    ;43,7    ;6,8  ;7,0;
BY;213;Deggendorf;51;1 845,4;177,0;195,1 ;95,5;188,4;106;17,7  ;3,6  ;8,3  ;16,7  ;33,4  ;20,3  ;10,9  ;10,2  ;36,3  ;33,2  ;+   3,7;31,8  ;35,2 ;43,2 ;18,7 ;2,9;0,8;97,9;699,5 ;75,3  ;9,6  ;398,8;287,7 ;1,0    ;51,9    ;14,6    ;32,5    ;10,0  ;11,6;
BY;214;Landshut;60;2 480,7;262,1;300,2 ;147,9;279,7;121;17,6  ;3,3  ;8,1  ;17,1  ;33,9  ;20,0  ;11,4  ;10,3  ;49,7  ;39,4  ;+  11,4;24,1  ;20,5 ;41,8 ;31,1 ;6,7;0,7;89,3;689,7 ;78,1  ;11,7  ;404,7;294,3 ;1,5    ;47,3    ;17,4    ;33,7    ;7,6  ;7,8;
BY;215;Passau;39;1 600,0;210,9;234,0 ;113,5;222,6;146;16,6  ;3,5  ;8,7  ;17,4  ;32,7  ;21,1  ;10,3  ;10,2  ;40,8  ;36,4  ;+   4,5;24,7  ;31,6 ;39,1 ;24,7 ;4,6;0,8;90,9;683,1 ;77,9  ;9,6  ;415,3;311,6 ;0,7    ;43,6    ;17,0    ;38,8    ;11,9  ;12,8;
BY;216;Rottal-Inn;46;2 158,6;179,5;204,0 ;100,7;193,4;95;18,0  ;3,6  ;7,9  ;16,5  ;32,8  ;21,3  ;11,6  ;10,5  ;38,3  ;28,8  ;+  10,6;40,2  ;25,2 ;43,3 ;26,5 ;5,1;0,8;156,9;750,6 ;73,9  ;9,6  ;384,6;335,0 ;1,0    ;64,4    ;11,7    ;22,8    ;7,5  ;8,1;
BY;217;Straubing;62;2 244,9;197,8;218,6 ;107,7;207,4;97;17,1  ;3,4  ;8,1  ;16,7  ;33,5  ;21,0  ;10,1  ;10,5  ;41,8  ;35,9  ;+   5,5;31,3  ;31,1 ;44,6 ;19,5 ;4,8;0,7;77,5;678,7 ;76,3  ;10,7  ;411,1;268,0 ;1,5    ;46,7    ;16,1    ;35,7    ;9,7  ;10,4;
BY;218;Amberg;47;2 649,5;242,5;271,6 ;133,3;260,0;102;18,4  ;3,5  ;8,0  ;16,8  ;32,9  ;20,3  ;11,4  ;9,9  ;38,9  ;33,6  ;+   6,8;25,1  ;22,5 ;47,8 ;24,6 ;5,1;0,7;94,7;670,0 ;77,6  ;7,6  ;383,8;292,8 ;0,7    ;52,0    ;16,6    ;30,7    ;9,6  ;9,4;
BY;219;Regensburg;42;1 476,0;262,9;294,0 ;143,6;274,6;199;15,8  ;3,0  ;7,8  ;18,6  ;34,6  ;20,1  ;10,4  ;9,9  ;57,5  ;51,2  ;+   6,8;11,6  ;18,9 ;42,9 ;29,4 ;8,9;0,6;113,6;651,5 ;82,2  ;12,2  ;455,7;370,7 ;0,8    ;40,1    ;20,1    ;39,1    ;9,7  ;10,0;
BY;220;Schwandorf;72;2 982,9;252,7;270,6 ;133,9;262,5;91;17,6  ;3,6  ;8,2  ;16,6  ;32,9  ;21,1  ;10,7  ;10,2  ;25,5  ;21,4  ;+   4,6;30,2  ;22,8 ;48,0 ;26,3 ;3,0;0,9;89,3;724,4 ;74,9  ;7,7  ;391,3;273,7 ;1,2    ;53,3    ;14,5    ;31,1    ;9,6  ;10,0;
BY;221;Weiden;65;2 582,0;211,8;223,8 ;109,1;215,4;87;17,8  ;3,5  ;7,9  ;16,2  ;32,6  ;22,0  ;10,9  ;11,0  ;33,6  ;31,5  ;+   2,0;21,6  ;20,0 ;37,7 ;36,1 ;6,1;1,0;111,3;678,7 ;77,8  ;9,7  ;417,4;299,0 ;0,9    ;51,3    ;17,8    ;29,9    ;9,7  ;9,5;
BY;222;Bamberg;55;1 466,2;258,4;287,3 ;140,2;272,4;196;18,1  ;3,4  ;7,9  ;17,3  ;33,4  ;19,9  ;10,9  ;10,3  ;42,5  ;37,0  ;+   6,1;21,5  ;38,8 ;45,8 ;11,7 ;3,7;0,7;87,7;664,2 ;79,9  ;11,0  ;408,5;294,3 ;1,0    ;47,3    ;18,4    ;33,3    ;9,6  ;9,7;
BY;223;Bayreuth;34;1 339,9;166,6;181,7 ;88,2;171,0;136;15,6  ;3,2  ;8,7  ;17,2  ;33,3  ;22,0  ;9,6  ;10,8  ;65,3  ;57,5  ;+   6,6;19,2  ;32,5 ;40,1 ;21,1 ;6,2;0,8;88,7;668,4 ;80,6  ;7,3  ;438,9;334,6 ;0,6    ;39,6    ;18,4    ;41,4    ;10,6  ;10,7;
