© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 15. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr;Land;Wahlkreisnamen;Bemerkungen;Gemeinden am 30.12.2001;Fläche am 31.12.1999 (in km2);Bevölkerung am 31.12.1999 (in 1000);;;Bevölkerungsdichte am 31.12.1999 (Einwohner je km2);Bevölkerung im Alter von ... bis unter ... Jahren am 31.12.1999 (in %);;;;;;Bevölkerungsbewegung 1999 (je 1000 Einwohner);;;;;Landwirtschaft 1999;;Bergbau- und verarb. Gewerbe am 30.09.1999;;Bautätigkeit und Wohnungswesen (je 1000 Einwohner);;Kfz-Bestand am 31.07.2000 (je 1000 Einwohner);Schulabgänger nach Abschlussarten 1999;;;;;Arbeitslosenquote Ende Dezember;;Sozialversicherungspflichtig Beschäftigte am 31.12.2000;;;;
;;;;;;insgesamt;männlich;Deutsche;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- bzw. Abnahme (-);Betriebe (je 1000 Einwohner);landwirtschaftlich genutzte Fläche (LF) (ha je Betrieb);Betriebe (je 1000 Einwohner);Beschäftigte (je 1000 Einwohner);Fertiggestellte Wohnungen 1999;Bestand an Wohnungen am 31.12.1999;;insgesamt (je 1000 Einwohner);ohne Hauptschulabschluss (in %);mit Hauptschulabschluss (in %);mit Realschulabschluss (in %);mit allgemeiner Hochschulreife (in %);2000;2001;insgesamt (je 1000 Einwohner);"Land- und Forstwirtschaft; Fischerei (in %)";Produzierendes Gewerbe (in %);"Handel u. Verkehr; Nachrichtenübermittlung (in %)";übrige Dienstleistungen (in %)
32;NI;Mittelems;;49;2350,9;294,4;145,8;277,8;125;20,1;4;8,5;15,2;32;20,3;12,1;8,4;29,1;25,7;7,1;17,4;30,3;0,7;75,1;8,5;364,7;652,5;13,9;10,1;25,3;44,1;19,5;8,8;9;304;1,6;41,8;18,4;38,1
33;NI;Cloppenburg - Vechta;;23;2231,1;272,5;136,2;258,5;122;21,3;4,1;8,9;15,8;31,5;18,4;13,4;7,7;37,2;29,9;13;19;31,5;0,9;90,3;8,9;333,8;659,3;13,7;8,1;27,5;43;19,6;8,4;7,9;310,1;3,5;49,8;18,3;28,4
34;NI;Diepholz - Nienburg I;;61;2486,8;241,8;119,9;229,6;97;17;3,2;6,7;14,5;35,4;23,1;10,2;10,6;47,8;38,9;8,5;16;38,6;0,7;45,4;8,9;398;725,3;10,2;10,8;21,4;47;19,1;6,9;7,2;255,2;1,7;36,6;28,8;32,9
35;NI;Rotenburg - Verden;;69;2857,6;292,3;145;276,1;102;18,1;3,4;7,3;14,8;35,1;21,3;10,8;10,2;43,8;34,1;10,3;14,2;42,7;0,5;54,8;11,3;409,9;736,8;10,8;11;23,3;45,3;19,2;7;6,9;288,2;2,2;36,4;24,4;37
36;NI;Soltau-Fallingbostel - Winsen L.;;48;2496,8;315,8;154,9;299,3;126;16,9;3;6,8;14,4;36,3;22,5;10,1;9,5;50;38,3;12,2;7,8;43,7;0,4;34,1;9,1;436,4;713,2;9,8;7,7;27,8;44,6;18,2;8,1;8;238;1,9;30,1;28,8;39,2
37;NI;Lüchow-Dannenberg - Lüneburg;;88;3163,4;269,8;132,7;256,9;85;16,4;3,1;7,4;15,2;34,5;23,5;10,3;11;46,8;37,3;8,9;8,9;64,8;0,6;58,2;8,8;447,8;650,3;10,5;8,2;19,6;46,6;23,7;12,4;12,3;255,8;2,3;31,5;20,7;45,5
38;NI;Osnabrück-Land;;29;1916;257,8;128,6;244,4;135;19,4;3,8;8,1;15;33,3;20,4;11,6;8,9;116,3;110,8;8,2;12,9;27,1;0,7;89,6;7,5;378;670,3;10,6;6,8;23,6;54,3;13,2;6,7;7,1;278,7;2,1;48;19;30,9
39;NI;Stadt Osnabrück;;6;325,3;259,8;124,7;241;798;13,4;2,8;9,6;17,4;32,9;23,8;9,7;9,6;62,2;66,8;-4,5;1;25,1;0,6;103,7;2,5;497,9;547,2;13,6;7,3;15,8;39,5;31,4;10,1;10,3;415,6;0,5;32,4;27,4;39,7
40;NI;Nienburg II - Schaumburg;;60;1575;259,4;126,6;242;165;16,8;3,2;7;14,1;34,1;24,8;9,9;11,6;40,4;34,7;4;10,4;39,8;0,6;65,5;4,3;418,5;853,6;10,4;10,2;23,2;43,8;20,8;8,8;9;254,3;1,1;39,8;19,9;39,2
41;NI;Stadt Hannover I;Erläuterungen siehe Vorbemerkungen;1;112,7;250,5;118,7;215,1;2222;12,7;2,4;8,2;17,8;34,2;24,6;9,5;10,8;59,6;61,1;-2,8;0,1;38,5;0,4;97,7;8;547,2;474,8;9,4;10,2;14,1;40;32,2;13,3;10,6;561,3;0,2;23,3;19,7;56,8
