"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik[1678]",2.99494550815,2.9958874,0.0113601684572619,0.0110759856900002,2.97462816,3.011648135,1.00050296305934,5175.76804797916,3508.67678836084
"log_lik[1679]",3.003535385675,3.00371735,0.00835411287707695,0.00812761319999998,2.98929754,3.01659244,1.00201624119254,6176.72148225747,3009.8632271932
"log_lik[1680]",2.683401453275,2.6860724,0.0478071369336405,0.0469079072700001,2.601324875,2.76060512,1.00064310013781,4099.01735950013,3421.1794532536
"log_lik[1681]",2.717646328075,2.72027995,0.0452424233161842,0.0442777007400003,2.64002957,2.789611785,1.00068433411899,4105.68982941371,3651.41604186172
"log_lik[1682]",2.7869694234,2.78938285,0.0395611542361706,0.0388287009600002,2.71877982,2.850095445,1.00064441529163,4125.85727009268,3710.69443047283
"log_lik[1683]",2.935716137675,2.93746105,0.0231703449695012,0.0227192141400001,2.895117625,2.97188279,1.00045751510606,4338.98172779736,3784.08193564751
"log_lik[1684]",-0.1680189883045,-0.16334172,0.154250736055179,0.1530602029005,-0.4323831135,0.0884830332499998,1.00067107740963,4225.61815108361,3597.94094950077
"log_lik[1685]",2.85732385375,2.8593915,0.0328307493314242,0.03244158603,2.80037814,2.90912427,1.00065887048361,4171.70956056745,3639.14256699913
"log_lik[1686]",2.8243986509,2.8266207,0.0361339727160729,0.0356920382700003,2.76215713,2.881929805,1.00054320701865,4146.41473440225,3674.12822474203
"log_lik[1687]",2.700834940275,2.7034029,0.0465185773007782,0.0454677837599999,2.620808015,2.77533619,1.00065410398768,4102.23410105793,3515.69060139669
"log_lik[1688]",2.2606121574,2.26348905,0.0725847113073851,0.0715593198600003,2.136652935,2.37846097,1.00086088110053,4084.5670940621,3247.49288771837
"log_lik[1689]",2.5032990809,2.5060296,0.0595638094920847,0.05820213168,2.402079795,2.600522725,1.00092252977278,4082.2202218936,3301.21491173918
"log_lik[1690]",2.551475988075,2.55439755,0.0566478080643973,0.05533848978,2.45499034,2.644042835,1.00079902206219,4085.1910586747,3217.15023626156
"log_lik[1691]",2.83391124005,2.8360933,0.035210931763601,0.0348980318400001,2.77312401,2.889583325,1.00051522092167,4151.45850443518,3674.34488131606
"log_lik[1692]",2.8691518493,2.87111905,0.0315612054388844,0.0311974622399997,2.81446134,2.91893182,1.00060107518627,4185.7037039646,3656.62079623485
"log_lik[1693]",2.92368789405,2.9253763,0.0248948983288714,0.0243588214800001,2.88026845,2.962591995,1.00060005171186,4295.91541096035,3728.42706769065
"log_lik[1694]",2.88085508405,2.88271855,0.0302534001246086,0.0298856577600002,2.828540735,2.928513165,1.00070700667523,4199.44015157895,3656.33010314678
"log_lik[1695]",2.729115876575,2.7316343,0.044351371334022,0.0434462586599994,2.653095845,2.79973673,1.00065119995695,4108.24080151481,3638.80918781103
"log_lik[1696]",3.002956950825,3.0032136,0.00859040660595925,0.00835400621999982,2.988029725,3.016176345,1.00151144500004,6037.2908670801,3165.11492310187
"log_lik[1697]",2.990973098225,2.9920981,0.0124672169195783,0.0117705837899995,2.968238175,3.009354265,0.999909484365419,4921.1119869744,3507.15185676006
